gtfs_stop__city,gtfs_stop__city_target_encoded
תל אביב יפו,725.4564901349949
רמת גן,575.6857221006564
בני ברק,798.7885141294439
פתח תקווה,157.52851239669423
גבעת שמואל,453.3253968253968
קרית אונו,362.57714617169376
בית שמש,254.86564245810055
מטה יהודה,278.1670918367347
מטע,256.2897196261682
ביתר עילית,295.5423209498276
חיפה,24.7435514688321
נשר,278.585627624825
ראש העין,134.49309371751076
דרום השרון,134.17173699705594
נתניה,1011.0277777777778
גן יבנה,59.985819625638115
אשדוד,69.64736842105263
קיסריה,575.2984293193717
פרדס חנה כרכור,419.6712834718375
בנימינה גבעת עדה,464.77463054187194
זכרון יעקב,580.8650485436893
פוריידיס,837.4392523364486
חוף הכרמל,878.8823529411765
טירת כרמל,919.6738609112709
גבעת זאב,246.0948051948052
ירושלים,232.43541944074568
מטה בנימין,161.19117647058823
דימונה,224.18666666666667
ירוחם,246.2258064516129
רמת הנגב,388.3707865168539
מרחב עם,253.86666666666667
שדה בוקר,371.38461538461536
מצפה רמון,249.07738095238096
צור הדסה,400.741935483871
נצרת,404.85756026296565
נוף הגליל,68.02960526315789
יהוד מונוסון,641.2538802660754
אור יהודה,579.7145631067962
חמד,515.5185185185185
בית דגן,427.5431472081218
ראשון לציון,367.5968318855391
חדרה,665.7436823104694
מנשה,445.1
הרצליה,464.4864864864865
רעננה,325.17391304347825
כפר סבא,117.11210762331838
מדרשת בן גוריון,310.0769230769231
עמק חפר,648.125
אלישיב,624.625
כפר יונה,443.13793103448273
פרדסיה,357.44
קדימה צורן,289.5777777777778
לב השרון,271.3103448275862
תל מונד,168.03846153846155
הוד השרון,194.981981981982
בצרה,372.6818181818182
חבל מודיעין,459.5074626865672
מודיעין מכבים רעות,783.8305084745763
מעלות תרשיחא,284.2403433476395
כפר ורדים,-281.672236503856
בת ים,1297.3570967741935
אשקלון,60.75013698630137
מרום הגליל,329.6713286713287
מגאר,431.7586206896552
טפחות,389.9230769230769
חזון,324.61538461538464
כפר חנניה,333.984375
עין אל אסד,337.61538461538464
מירון,404.0769230769231
בר יוחאי,27.333333333333332
שפר,447.5
כלנית,-179.8
צפת,-61.224137931034484
גבעתיים,640.7335701598579
גני תקווה,167.3477088948787
סביון,57.71232876712329
מעלה אדומים,357.13375796178343
ריינה,295.5842696629214
חוף השרון,714.6666666666666
אבן יהודה,735.5000000000001
אור עקיבא,359.5
