"תאריך","משתנה","תל-אביב חוף 03/2005-11/2023"
"02/01/2022","כמות הגשם היומית (מ""מ)","11.7"
"02/01/2022","קוד גשם (קוד)","0"
"03/01/2022","כמות הגשם היומית (מ""מ)","1.3"
"03/01/2022","קוד גשם (קוד)","0"
"13/01/2022","כמות הגשם היומית (מ""מ)","12.7"
"13/01/2022","קוד גשם (קוד)","0"
"14/01/2022","כמות הגשם היומית (מ""מ)","33.3"
"14/01/2022","קוד גשם (קוד)","0"
"15/01/2022","כמות הגשם היומית (מ""מ)","40.4"
"15/01/2022","קוד גשם (קוד)","0"
"16/01/2022","כמות הגשם היומית (מ""מ)","7.3"
"16/01/2022","קוד גשם (קוד)","0"
"18/01/2022","כמות הגשם היומית (מ""מ)","9.1"
"18/01/2022","קוד גשם (קוד)","0"
"19/01/2022","כמות הגשם היומית (מ""מ)","1.8"
"19/01/2022","קוד גשם (קוד)","0"
"23/01/2022","כמות הגשם היומית (מ""מ)","27.9"
"23/01/2022","קוד גשם (קוד)","0"
"24/01/2022","כמות הגשם היומית (מ""מ)","4"
"24/01/2022","קוד גשם (קוד)","0"
"26/01/2022","כמות הגשם היומית (מ""מ)","21"
"26/01/2022","קוד גשם (קוד)","0"
"27/01/2022","כמות הגשם היומית (מ""מ)","23.6"
"27/01/2022","קוד גשם (קוד)","0"
"28/01/2022","כמות הגשם היומית (מ""מ)","30.4"
"28/01/2022","קוד גשם (קוד)","0"
"29/01/2022","כמות הגשם היומית (מ""מ)","1.7"
"29/01/2022","קוד גשם (קוד)","0"
"31/01/2022","כמות הגשם היומית (מ""מ)","1.9"
"31/01/2022","קוד גשם (קוד)","0"
"01/02/2022","כמות הגשם היומית (מ""מ)","0.6"
"01/02/2022","קוד גשם (קוד)","0"
"04/02/2022","כמות הגשם היומית (מ""מ)","6.5"
"04/02/2022","קוד גשם (קוד)","0"
"05/02/2022","כמות הגשם היומית (מ""מ)","2.8"
"05/02/2022","קוד גשם (קוד)","0"
"06/02/2022","כמות הגשם היומית (מ""מ)","0.3"
"06/02/2022","קוד גשם (קוד)","0"
"09/02/2022","כמות הגשם היומית (מ""מ)","19.6"
"09/02/2022","קוד גשם (קוד)","0"
"10/02/2022","כמות הגשם היומית (מ""מ)","4.1"
"10/02/2022","קוד גשם (קוד)","0"
"18/02/2022","כמות הגשם היומית (מ""מ)","0.2"
"18/02/2022","קוד גשם (קוד)","0"
"19/02/2022","כמות הגשם היומית (מ""מ)","0.7"
"19/02/2022","קוד גשם (קוד)","0"
"24/02/2022","כמות הגשם היומית (מ""מ)","0.4"
"24/02/2022","קוד גשם (קוד)","0"
"25/02/2022","כמות הגשם היומית (מ""מ)","6.6"
"25/02/2022","קוד גשם (קוד)","0"
"26/02/2022","כמות הגשם היומית (מ""מ)","1.8"
