סמל היישוב,שם יישוב,מחוז,נפה,צורת יישוב,מעמד מוניציפלי,אזור טבעי,אוכלוסייה - סך הכל,מזה: יהודים ואחרים,מזה: יהודים,מזה: ערבים,אשכול רשויות מקומיות
,,,,,,,,,,,
472,אבו גוש,ירושלים,ירושלים,יישובים לא יהודיים 9999-5000 תושבים,מועצה מקומית,הרי יהודה,"7,942",78,61,"7,864",ללא שיוך לאשכול               
473,אבו סנאן,הצפון,עכו,יישובים לא יהודיים 19999-10000 תושבים,מועצה מקומית,אזור נהרייה,"14,687",29,14,"14,658",ללא שיוך לאשכול               
1342,אבו קורינאת (יישוב),הדרום,באר שבע,יישובים לא יהודיים 4999-2000 תושבים,נווה מדבר,אזור באר שבע,"2,222",2,-,"2,220",אשכול רשויות נגב מזרחי        
1375,אבו תלול,הדרום,באר שבע,יישובים לא יהודיים 4999-2000 תושבים,נווה מדבר,אזור באר שבע,"2,492",8,-,"2,484",אשכול רשויות נגב מזרחי        
652,אבטין,חיפה,חיפה,יישובים לא יהודיים 4999-2000 תושבים,זבולון,אזור חיפה,"2,915",1,1,"2,914",אשכול רשויות המפרץ            
1275,אבטליון,הצפון,עכו,יישובים קהילתיים,משגב,אזור שפרעם,466,467,447,-,אשכול רשויות בית הכרם הגלילי  
679,אביאל,חיפה,חדרה,מושבים - לרבות כפרים שיתופיים,אלונה,אזור חדרה,816,816,804,-,אשכול רשויות מישור החוף       
1115,אביבים,הצפון,צפת,מושבים - לרבות כפרים שיתופיים,מרום הגליל,גליל עליון מזרחי,474,474,472,-,אשכול רשויות גליל מזרחי       
819,אביגדור,הדרום,אשקלון,מושבים - לרבות כפרים שיתופיים,באר טוביה,אזור מלאכי,815,815,810,-,אשכול רשויות שורק דרומי       
175,אביחיל,המרכז,השרון,מושבים - לרבות כפרים שיתופיים,עמק חפר,מערב השרון,"1,391","1,389","1,359",1,ללא שיוך לאשכול               
2052,אביטל,הצפון,יזרעאל,מושבים - לרבות כפרים שיתופיים,הגלבוע,עמק יזרעאל,515,516,515,-,אשכול רשויות הגליל והעמקים    
1070,אביעזר,ירושלים,ירושלים,מושבים - לרבות כפרים שיתופיים,מטה יהודה,שפלת יהודה,897,897,890,-,ללא שיוך לאשכול               
1220,אבירים,הצפון,עכו,יישובים קהילתיים,מעלה יוסף,אזור אילון,310,310,295,-,אשכול רשויות גליל מערבי       
182,אבן יהודה,המרכז,השרון,יישובים יהודיים 19999-10000 תושבים,מועצה מקומית,מערב השרון,"14,365","14,364","14,109",2,ללא שיוך לאשכול               
1081,אבן מנחם,הצפון,עכו,מושבים - לרבות כפרים שיתופיים,מעלה יוסף,אזור אילון,285,285,280,-,אשכול רשויות גליל מערבי       
783,אבן ספיר,ירושלים,ירושלים,מושבים - לרבות כפרים שיתופיים,מטה יהודה,הרי יהודה,699,699,690,-,ללא שיוך לאשכול               
400,אבן שמואל,הדרום,אשקלון,יישובים יהודיים 4999-2000 תושבים,שפיר,אזור לכיש,"2,287","2,286","2,283",-,ללא שיוך לאשכול               
4011,אבני איתן,הצפון,גולן,מושבים - לרבות כפרים שיתופיים,גולן,גולן דרומי,876,876,872,-,אשכול רשויות גליל מזרחי       
